SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE
2026,1643573,Kylan,Boswell,Kylan Boswell,PG,73.25,6' 1.25'',,,226.00,79.0,6' 7.00'',95.0,7' 11.00'',,8.0,8.5,33.0,38.0,10.82,2.92,3.22,,,,,,,12-25,,,,,,,,,,,,,14-30,,,,12-25
2026,1643592,Nicholas,Boyd,Nicholas Boyd,PG,73.0,6' 1.00'',,,176.20,74.5,6' 2.50'',96.0,8' 0.00'',,8.0,8.25,30.5,36.0,10.78,3.06,3.07,,,,,,,14-25,,,,,,,,,,,,,20-30,,,,11-25
2026,1643558,Jaden,Bradley,Jaden Bradley,PG,74.5,6' 2.50'',,,205.40,78.25,6' 6.25'',96.0,8' 0.00'',,8.0,9.25,30.5,36.0,10.75,3.13,3.2,,,,,,,10-25,,,,,,,,,,,,,19-30,,,,12-25
2026,1642350,Trevon,Brazile,Trevon Brazile,PF,81.5,6' 9.50'',,,225.60,87.75,7' 3.75'',109.0,9' 1.00'',,9.0,10.25,36.0,41.5,10.84,2.71,3.14,,,,,,,14-25,,,,,,,,,,,,,15-30,,,,12-25
2026,1643576,Maliq,Brown,Maliq Brown,C,80.0,6' 8.00'',,,216.60,84.75,7' 0.75'',107.0,8' 11.00'',,8.75,9.0,29.5,34.0,11.22,3.05,3.07,,,,,,,9-25,,,,,,,,,,,,,15-30,,,,13-25
2026,1643414,Christopher,Brown Jr,Christopher Brown Jr,PG,75.5,6' 3.50'',,,190.20,79.5,6' 7.50'',100.5,8' 4.50'',,8.25,9.5,33.5,39.5,10.57,2.89,3.24,,,,,,,18-25,,,,,,,,,,,,,15-30,,,,15-25
2026,1643415,Brayden,Burries,Brayden Burries,SG,75.75,6' 3.75'',,,215.40,78.0,6' 6.00'',98.5,8' 2.50'',,8.25,9.25,35.0,38.5,10.59,2.92,3.21,,,,,,,14-25,,,,,,,,,,,,,21-30,,,,17-25
2026,1643418,Cameron,Carr,Cameron Carr,SG,76.5,6' 4.50'',,,184.40,84.75,7' 0.75'',104.0,8' 8.00'',,8.75,9.25,38.0,42.5,10.46,2.8,3.17,,,,,,,14-25,,,,,,,,,,,,,22-30,,,,11-25
2026,1643572,Rafael,Castro,Rafael Castro,C,81.0,6' 9.00'',,,224.40,85.25,7' 1.25'',109.5,9' 1.50'',,9.0,9.0,31.0,36.5,11.42,2.93,3.2,,,,,,,,,,,,,,,,,,,,,,,,
2026,1643416,Christopher,Cenac Jr.,Christopher Cenac Jr.,PF,82.25,6' 10.25'',,,239.60,89.0,7' 5.00'',108.5,9' 0.50'',,9.25,9.5,33.0,37.0,10.76,2.84,3.27,,,,,,,9-25,,,,,,,,,,,,,15-30,,,,16-25
